Sentence,Sentiment,Cleaned_Sentence,Is_Augmented,Technique
please explain our fleets on fleek,neutral,delight explain our fleets on fleek,True,synonym_replacement
"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.",negative,nightmarish customer service further to that as an elite member im appalled,False,original
@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ,neutral,s ceo battles to appease passengers and wall street waterbury republican american,False,original
@AmericanAir can you?,negative,can you,False,original
chances of flight leaving bna tomorrow at 620 am to lga,neutral,report of flight leaving bna tomorrow at 620 am to lga,True,bert_paraphrasing
"@AmericanAir Fine. Would you have them call me? I left a message, was told it would be 2 hours for a call. Haven't heard anything yet.",negative,fine would you have them call me i left a message was told it would be 2 hours for a call havent heard anything yet,False,original
"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens.",negative,yeah i know that but that doesnt get me my money back does it everytime i fly with you something bad happens,False,original
@AmericanAir have been waiting over THREE hours to talk to someone to rebook a flight due to weather. does call back service actually work??,negative,have been waiting over three hours to talk to someone to rebook a flight due to weather does call back service actually work,False,original
"@USAirways @marvinatorsb thnk you for response,all flights were full, couldn't get out until tmrw, had to Cancelled Flight and go w/other airline",negative,thnk you for responseall flights were full couldnt get out until tmrw had to cancelled flight and go wother airline,False,original
@JetBlue cool! Are there stairs at JFK? I can walk short distances but not stairs.,positive,cool are there stairs at jfk i can walk short distances but not stairs,False,original
"@AmericanAir My reservation is on hold, not me.  Wish I was on hold but that's not possible with the phone issues at #americanair",negative,my reservation is on hold not me wish i was on hold but thats not possible with the phone issues at americanair,False,original
"@united traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?",neutral,traveling from fra thru iad to mco tomorrow concerned abt iad weather cant change until advisory issued any advice,False,original
@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour.,negative,can you help from there ua4935 cant take off without missing galley cart that no one can find pax all seated for last hour,False,original
"@united you've been officially displaced by @DeltaAssist for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!",negative,youve been officially displaced by for better flight experience pleasant cabin crew and timeliness ua 1m switching,False,original
@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.,negative,recent services have been very bad my nc trip was aweful very disappointed and never again,False,original
got my bags this morning thanks,positive,packing my bags this morning thanks,True,bert_paraphrasing
@USAirways looks like you lost another customer  when you stranded @41CGQueen at CLT she vows never to fly with you again #smoothtransition,negative,looks like you lost another customer when you stranded at clt she vows never to fly with you again smoothtransition,False,original
"OMGee!!! @JetBlue #OnFleek Why @JetBlue Why?!? 😭😁😆😵 How many people even know what that means, lol?",neutral,omgee onfleek why why loudlycryingface beamingfacewithsmilingeyes grinningsquintingface facewithcrossedouteyes how many people even know what that means lol,False,original
@USAirways thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀,positive,thanks for slowing the inbound plane down so that we didnt need to worry about 4438 eyw being late flight great holz ahead cheers grinningface,False,original
JetBlue reading the NYTimes. “@JetBlue: Our fleet's on fleek. http://t.co/lvIrTDtqly”,neutral,jetblue reading the nytimes our fleets on fleek,False,original
you friends flt from ase to denver is cancelled flightled for tomorrow can you help with rebook,neutral,you friends flt from ase to denver is cancelled flightled for tomorrow can you me with continue,True,bert_paraphrasing
thanks i finally got through this afternoon,positive,thanks i finally got through afternoon,True,random_deletion
you set a schedule try and keep it aaalwayslate flight,neutral,you set a little try and keep it aaalwayslate flight,True,bert_paraphrasing
@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,negative,8 hours late flightr and im siting on another plane waiting to leave i think a credit is in order for this terrible service,False,original
Looking forward to using Passbook when I fly  @SouthwestAir in a few weeks!,positive,looking forward to using passbook when i fly in a few weeks,False,original
@AmericanAir what about flight 1239?,neutral,what about flight 1239,False,original
youve met your matchgot status on another airline upgrade hearnoevilmonkey,neutral,it met your matchgot status on another airline upgrade hearnoevilmonkey,True,bert_paraphrasing
is that the flight for tomorrow,neutral,is that the flying for tomorrow,True,synonym_replacement
not necessary i am confident the excellent inflight staff will make the appropriate report,positive,not necessary i am prepare the excellent inflight staff will certain the appropriate report,True,bert_paraphrasing
has dc thinking about summer with new nantucket service broadway world,neutral,has dc imagine about summer with new nantucket service broadway world,True,synonym_replacement
@JetBlue This could be the beginning of a BLUEtiful relationship :) #lifeneedsfrosting,positive,this could be the beginning of a bluetiful relationship lifeneedsfrosting,False,original
well have all day and all the time in the world,positive,well have all day and all the money in the world,True,bert_paraphrasing
retiring with my hubby and its our 25th wedding anniversary this year companion pass please,neutral,retiring with my hubby and its our 25th wedding anniversary this year companion please please,True,bert_paraphrasing
weather bc of system outage hopefully everything goes smoothly now thank you for follow up,positive,weather contact of system outage hopefully everything goes smoothly now because you for follow up,True,bert_paraphrasing
no problem he was the only person in the airport who would help,positive,no problem he was the only trouble person in the airport who would help,True,random_insertion
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),neutral,checked in boardingpass wno checkin bagage guess im all set,False,original
hi there looks like my connection is delayed too so ill make it thanks,positive,hi there looks like my connection is delayed comparable too so ill make it thanks,True,random_insertion
@JetBlue of course I am!!✈️,neutral,of course i am airplane,False,original
still thinking those pjs may have me sold wed love to have you on board with us here i come,positive,still think those pjs may have me sold wed love to have you on them with board here i come,True,bert_paraphrasing
@SouthwestAir has the best customer service!,positive,has the best customer service,False,original
@united what gate is ua5396 leaving from?,neutral,what gate is ua5396 leaving from,False,original
airways reveals bluemanity livery travelpulse,positive,airways break bluemanity livery travelpulse,True,synonym_replacement
@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Broadway World http://t.co/dS22ceeEnj,neutral,has dc thinking about summer with new nantucket service broadway world,False,original
is 2513 and 1555 on time or cancelled flightled,neutral,is 2513 and 1555 on sentence or cancelled flightled,True,synonym_replacement
@united When will that happen? It really confuses when the 1st content to come on the 6in screens is about how technology forward United is.,negative,when will that happen it really confuses when the 1st content to come on the 6in screens is about how technology forward united is,False,original
you know what would be awesome providing us with complimentary entertainment on your flights especially those longer than 6 hours,neutral,you know what seats be awesome for us with complimentary can on your flights especially those longer than 6 hours,True,bert_paraphrasing
@JetBlue @KyleJudah be responsible for replacing it,negative,be responsible for replacing it,False,original
shows us their sense of humor with these tongueincheek flight etiquette videos,positive,shows telecasting us their sense of humor with these tongueincheek flight etiquette videos,True,random_insertion
@SouthwestAir Suggestions: tell customers approximate wait times when they are on hold (50 min now...) and allow them to Cancelled Flight online!,negative,suggestions tell customers approximate wait times when they are on hold 50 min now and allow them to cancelled flight online,False,original
is z and d code airfare refundable,neutral,is z and d cypher airfare refundable,True,synonym_replacement
is that one on the picture,neutral,is that one on the moving picture show,True,synonym_replacement
thats who i spoke to already weve already booked another flight wsomeone else thanks for your concern just wanted to,neutral,thats who i radius to already weve already booked another flight wsomeone else thanks for your concern just wanted to,True,synonym_replacement
@AmericanAir DMing you now! Big thanks.,positive,dming you now big thanks,False,original
@SouthwestAir if you guys fuck this up again  I will never forgive you,negative,if you guys fuck this up again i will never forgive you,False,original
@SouthwestAir What's up with the wait times on your customer service line? Tried 2X on Fri. and now I've been on for over 15 min.,negative,whats up with the wait times on your customer service line tried 2x on fri and now ive been on for over 15 min,False,original
@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly,negative,i will never fly us airways or american again and i will share this nightmare of a story to all the many others we know who fly,False,original
@AmericanAir I'm home &amp; only 9hr Late Flight.  No thanks to your service centre - their plan involved 4 flight legs all across NA and 2 full days..,negative,im home amp only 9hr late flight no thanks to your service centre their plan involved 4 flight legs all across na and 2 full days,False,original
airways reveals bluemanity livery travelpulse,positive,airways reveals the livery travelpulse,True,bert_paraphrasing
"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.",negative,i called jet blue to get an explanation and make sure it would not happen in the future i was told to write the fraud dept,False,original
"@JetBlue Hello Good afternoon how are you, I need know how much flying for summer from june 13th.",neutral,hello good afternoon how are you i need know how much flying for summer from june 13th,False,original
"@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !",positive,i flew to san francisco from fort lauderdale with you last year had a fantastic time so would like to go back,False,original
@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo,negative,look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight,False,original
how do i go on the scavenger hunt if im in boston,neutral,how do i go on the scavenger search if im in boston,True,bert_paraphrasing
@AmericanAir “Inconvenient” is such a convenient word.,negative,inconvenient is such a convenient word,False,original
@USAirways not moving we are in the tarmac delayed for some unknown reason. I'll keep you posted,negative,not moving we are in the tarmac delayed for some unknown reason ill keep you posted,False,original
@united and waiting,negative,and waiting,False,original
@united Okay thanks if you could please update me. I was told at the airport someone would call me today but they haven't.,negative,okay thanks if you could please update me i was told at the airport someone would call me today but they havent,False,original
@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty,negative,we had to sit in the airport a long periolodicly time the planes were nasty,False,original
"@JetBlue I lost a day at the airport and off my trip, I should be compensated for the inconvenience!!!!!",negative,i lost a day at the airport and off my trip i should be compensated for the inconvenience,False,original
omgee onfleek why why loudlycryingface beamingfacewithsmilingeyes grinningsquintingface facewithcrossedouteyes how many people even know what that means lol,neutral,why onfleek why why loudlycryingface the grinningsquintingface facewithcrossedouteyes how many people even know what that means lol,True,bert_paraphrasing
can you help me add a aadvantage number and known traveler number to a reservation,neutral,can you have me add a aadvantage number and known number number to a reservation,True,bert_paraphrasing
why is my ktn not showing on my boarding why is tsa precheck not applying to my boarding pass,neutral,why is my name not showing on my boarding why is your precheck not applying to my boarding pass,True,bert_paraphrasing
"@JetBlue Cancelled Flightling flights, sending out tickets, then not telling the buyer... #jetblue how is that allowed?",negative,cancelled flightling flights sending out tickets then not telling the buyer jetblue how is that allowed,False,original
@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,positive,gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,False,original
@usairways  my flight has been Cancelled Flightled. On hold for 2+ hrs to reschedule. Need help now.  Taking way too long http://t.co/NeHnsDCkTY,negative,my flight has been cancelled flightled on hold for 2 hrs to reschedule need help now taking way too long,False,original
"@united that's what I tried to do, but when entering email into 2nd device made email typo. No way to fix it &amp; no option to log out/in!!!",negative,thats what i tried to do but when entering email into 2nd device made email typo no way to fix it amp no option to log outin,False,original
oh definitely i kind of only fly jetblue,positive,oh fly sheet definitely i kind of only fly jetblue,True,random_insertion
@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.,negative,all i requested was a refund of my reward points that i used to purchase the flight and he refused,False,original
@USAirways Was just on hold with you all for TWO HOURS and then got hung up on. oh my god.,negative,was just on hold with you all for two hours and then got hung up on oh my god,False,original
"@AmericanAir  They said it works 80-90% of the time, DFW security entrance C26. Before/after pre-check, whereas I paid for the service.",neutral,they said it works 8090 of the time dfw security entrance c26 beforeafter precheck whereas i paid for the service,False,original
thank you i will be calling you cheapoairchat,positive,thank you i will be bid you cheapoairchat,True,synonym_replacement
can you help me add a aadvantage number and known traveler number to a reservation,neutral,can you help me add a telephone number and known address number to a reservation,True,bert_paraphrasing
"@united thanks, just sent :)",positive,thanks just sent,False,original
@usairways hey just letting you know you're the worst fucking service I've ever used thanks for nothing,negative,hey just letting you know youre the worst fucking service ive ever used thanks for nothing,False,original
