Sentence,Sentiment,Cleaned_Sentence
@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!,positive,thanks gate agent extraordinaire seau fong for helping me get rebooked out of boise and hopefully home to nyc sometime tonight
"@USAirways @AmericanAir you should partner w/ a different hotel in PHL, the clarion is proving to be very difficult &amp; not customer friendly",negative,you should partner w a different hotel in phl the clarion is proving to be very difficult amp not customer friendly
"@AmericanAir Oh, and losing my luggage #ridiculous # angrybird # where'smybag",negative,oh and losing my luggage ridiculous angrybird wheresmybag
@USAirways looks like you lost another customer  when you stranded @41CGQueen at CLT she vows never to fly with you again #smoothtransition,negative,looks like you lost another customer when you stranded at clt she vows never to fly with you again smoothtransition
@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight,negative,just 1 last thing u guys shouldnt be charging for drinks on a transatlantic flight
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",positive,i mean probably inappropriate while on board but its on
"@AmericanAir You're clueless. A kind rez agnt contacted USAir 4me around midnite, told them what to do. If not that I'd have missed funeral.",negative,youre clueless a kind rez agnt contacted usair 4me around midnite told them what to do if not that id have missed funeral
@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,negative,they did on a delta flight out of lax which is why i should be compensated for my rental car there
@USAirways I am in meetings in California and have no luggage!!,negative,i am in meetings in california and have no luggage
@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.,negative,on 4124 arriving two hours late flight into clt now sitting on the tarmac while they move a plane from the gate unhappy customer
@united Worst airline ever?,negative,worst airline ever
@united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to,negative,hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set i tried to
@USAirways of course weather was a joke 43 beats 5 degrees in PHL! ⛄️☀️,neutral,of course weather was a joke 43 beats 5 degrees in phl snowmanwithoutsnow sun
@JetBlue I can't do that flight. I need a Late Flightr one! I need you to change my flight. You guys changed it and now I can't do that time!,negative,i cant do that flight i need a late flightr one i need you to change my flight you guys changed it and now i cant do that time
@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove,positive,luv your new luv television commercials traveled on your airline last year return trip from nycfeltthelove
@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,negative,i have received one previously on the 11th having checked odd as you said there was no complaint associated with my email
@united I got it now. Wouldn't let me log on with my email. Thx. Here's hoping for dtw-ase without issue today,neutral,i got it now wouldnt let me log on with my email thx heres hoping for dtwase without issue today
@AmericanAir “Inconvenient” is such a convenient word.,negative,inconvenient is such a convenient word
@SouthwestAir what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one,negative,what about for us that cant get to the states they are playing for the hunt any destinationdragons tickets lefteven just one
@AmericanAir  your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.,negative,your customer service is deplorable i am disgusted in your company and the ignorant people on the phones for lost baggage
"@united that's what I tried to do, but when entering email into 2nd device made email typo. No way to fix it &amp; no option to log out/in!!!",negative,thats what i tried to do but when entering email into 2nd device made email typo no way to fix it amp no option to log outin
"@SouthwestAir Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",negative,thanks for the terrible service stranded in mdw for 2 days amp now cant find confirmation for rebooked flight from mke
@AmericanAir why don't you take care of @Cowboycerrone flight screw ups,negative,why dont you take care of flight screw ups
"@AmericanAir that's unacceptable. They should allow me to wait on hold, or take my number and call me themselves.",negative,thats unacceptable they should allow me to wait on hold or take my number and call me themselves
@VirginAmerica sounds like fun !,positive,sounds like fun
@JetBlue #1408 IAD to JFK still hasn't boarded. What's today's excuse and how am I gonna get to work?,negative,1408 iad to jfk still hasnt boarded whats todays excuse and how am i gonna get to work
"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight",negative,horrible service wrong plane arrived many confirmed passengers could not get on flight we paid for due to lack of seats flight
@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund,negative,i did eventually get through but that flight cancelled flightled decided to drive but gave up holding to process refund
@united thanks! We would like an apology and a full refund. Please confirm when we will receive.,negative,thanks we would like an apology and a full refund please confirm when we will receive
@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?,neutral,please help left my ipad air 2 on my flight from nyc to paris yesterday and cant get in touch with anyone locally what to do
@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.,negative,is there a united gold number ive been on hold 24 minutes and think i may be lost in nowhereland have a gold reservation help
"@united Yes. It was the airport person who told me the bag was still in Nashville, when I filed the claim. (1/2)",negative,yes it was the airport person who told me the bag was still in nashville when i filed the claim 12
"Sorry, @united. I accidentally popuLate Flightd with you instead of @USAirways. Can't wait 'til ""U"" are the only ""U"" in the sky. #NewAmericanStinks",neutral,sorry i accidentally populate flightd with you instead of cant wait til u are the only u in the sky newamericanstinks
@JetBlue in the sky on flight 833 from BOS to SFO. Awesome crew! Helene rocks!,positive,in the sky on flight 833 from bos to sfo awesome crew helene rocks
@USAirways your airway is a joke. I have never dealt with worse service,negative,your airway is a joke i have never dealt with worse service
@JetBlue I don't have enough hands to count the number of times something like this has delayed my flight with you guys. Very disappointed.,negative,i dont have enough hands to count the number of times something like this has delayed my flight with you guys very disappointed
@united Just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. Thanks,negative,just let the employees know that good service and a kind attitude towards customers is vital in this kind of business thanks
@USAirways absolutely,neutral,absolutely
@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun,negative,rescheduled my return flight from japan uh why trying to call unitedairlines customerservice 45 min wait fun
@SouthwestAir I'm sorry for straying and going with @AmericanAir I've learned my lesson. These attendants need some SW happiness!,negative,im sorry for straying and going with ive learned my lesson these attendants need some sw happiness
"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes",negative,we saw one he was as useless as the tsa agents who inspected my shoes
@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,positive,we havent departed yet so lets not get too high hopes but everything has been on schedule so far
@USAirways @SeanVRose Sean - keep in mind if you call...plan on being on hold for 3+ hours,negative,sean keep in mind if you callplan on being on hold for 3 hours
@JetBlue we need an ETA please,negative,we need an eta please
@USAirways how do you have only 1 flight into lexington this afternoon with the #1 @KentuckyMBB playing a big game tonight?  #DoBetter,neutral,how do you have only 1 flight into lexington this afternoon with the 1 playing a big game tonight dobetter
@JetBlue nope. This 8:45am flight is now not leaving until almost 5pm. 5! I can't believe I paid money for this.,negative,nope this 845am flight is now not leaving until almost 5pm 5 i cant believe i paid money for this
"@JetBlue Port-Au-Prince, Haiti for continued food distribution, medical supplies, &amp; orphan care!  #flyingitforward http://t.co/fn2QXybT9K",neutral,portauprince haiti for continued food distribution medical supplies amp orphan care flyingitforward
@JetBlue #jetblue #sofly #wish #firststari seetonight http://t.co/pyJAoayNx6,neutral,jetblue sofly wish firststari seetonight
"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled.",negative,yes it says my reservation cannot be retrieved at this time also i never got an email from aa saying my flight was cancelled flightled
@SouthwestAir I know that not everybody on flight can be 1st time flying. But in case it is people in front deplane 1st not from the back?!?,neutral,i know that not everybody on flight can be 1st time flying but in case it is people in front deplane 1st not from the back
Alright... Someone has to stop this! RT @JetBlue: Our fleet's on fleek. http://t.co/lchVJoliDg,neutral,alright someone has to stop this rt our fleets on fleek
@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,positive,guess where ashley is shes doing a great job presenting ragandisney
@JetBlue as a customer it feels like i should stick to airlines other than jet blue. I travel for my work for past 5 years never seen $70,negative,as a customer it feels like i should stick to airlines other than jet blue i travel for my work for past 5 years never seen 70
@USAirways not moving we are in the tarmac delayed for some unknown reason. I'll keep you posted,negative,not moving we are in the tarmac delayed for some unknown reason ill keep you posted
@USAirways  where's my bag?  In line 200 deep at DCA. Agents say call 800 #.  800# says talk to agents. Abysmal customer service,negative,wheres my bag in line 200 deep at dca agents say call 800 800 says talk to agents abysmal customer service
@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,neutral,any possible chance of swa bringing back service between lgabwi it would make it much easier to connect to the west coast
"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass",negative,heres part was at bag drop inserted my jetblue cc didnt print pass agent standing in front of me refused to print my pass
@AmericanAir Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?,negative,sitting at the gate on flight 719 for an hour due to sabre being down what backup plan is in place if sabre cannot be fixed
@USAirways no you not sorry. I am trying 2 add a day 2 my vacation but there is a $200 charge just 2 change flights,negative,no you not sorry i am trying 2 add a day 2 my vacation but there is a 200 charge just 2 change flights
@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,negative,in ord hotel issued to my 4yr old tickets needed fixing again another hour and 5 agents l8r nightmare still not over
@USAirways your app sucks balls compared to @AmericanAir,negative,your app sucks balls compared to
At the airport ready to get this @JetBlue red eye going.... Soooooo sleepy.  #NoPlaceLikeHome #eventhoughits2degreesathome,neutral,at the airport ready to get this red eye going soooooo sleepy noplacelikehome eventhoughits2degreesathome
@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue,negative,continuing you record of never having a flight leave on time add up how much time with with my family you have cost me jetblue
@USAirways Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful,negative,official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful
"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral.",negative,now i am probably going to miss my connection in charlotte so i will have to drive home for the funeral
@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather,negative,i booked and paid for a flight to get me to denver at a specific time for a meeting you failed it wasnt caused by weather
@SouthwestAir done.0,neutral,done0
@usairways hey just letting you know you're the worst fucking service I've ever used thanks for nothing,negative,hey just letting you know youre the worst fucking service ive ever used thanks for nothing
@united what gate is ua5396 leaving from?,neutral,what gate is ua5396 leaving from
@USAirways That link doesn't work on mobile.,negative,that link doesnt work on mobile
@usairways traveling with 2 year old. would appreciate you holding up your end of good business and hosting us in our unanticipated layover.,negative,traveling with 2 year old would appreciate you holding up your end of good business and hosting us in our unanticipated layover
@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,negative,gate c 24 iad u released passengers to board wothers deplaning 50 peopleon bridge while next flight board
@SouthwestAir What does this even mean?  I'm taking about letting elite customers who paid for a seat fill a seat that will go empty anyway.,negative,what does this even mean im taking about letting elite customers who paid for a seat fill a seat that will go empty anyway
"@SouthwestAir  also, gave up after 1 hr 32 minutes on hold. Maybe put a few more people on it?",negative,also gave up after 1 hr 32 minutes on hold maybe put a few more people on it
@AmericanAir why am I continually getting put on hold by painfully inexperienced people when calling your Platinum desk?!,negative,why am i continually getting put on hold by painfully inexperienced people when calling your platinum desk
"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was.",negative,i shouldnt have to find them they should tell us ive flown jet blue since your first month the experience isnt what it was
@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to,neutral,thats who i spoke to already weve already booked another flight wsomeone else thanks for your concern just wanted to
@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!,positive,fantastic job by your people today on ua22 from dublin a jam packed plane but the crew was wonderful
@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?,negative,any particular reason its 20 minutes and counting to speak to a human being
"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.",negative,nightmarish customer service further to that as an elite member im appalled
"@USAirways Please don't trivialize me.  This is a joke, not a slow day or slow experience",negative,please dont trivialize me this is a joke not a slow day or slow experience
"@SouthwestAir  we understand air delays which are out of your control, terrible telephone support, apps and online access that do not work??",negative,we understand air delays which are out of your control terrible telephone support apps and online access that do not work
@USAirways What is happening at Reagan Airport DCA? Long lines and four people working checkIn! #unhappy #DCA,negative,what is happening at reagan airport dca long lines and four people working checkin unhappy dca
@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,positive,i dont use passbook i still love you though lt3 ill just use my email in the future
@USAirways how do you do that? You guys need to have much better communication. How? How can we do that?,negative,how do you do that you guys need to have much better communication how how can we do that
@JetBlue 2:55 tomorrow from RIC to BOS. Looking good or am I better rescheduling?,neutral,255 tomorrow from ric to bos looking good or am i better rescheduling
@united thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #Cancelled Flightledflight,negative,thanks for ruined my vacation for having poorly maintained aircrafts that cant fly safely out of stt ua1481 cancelled flightledflight
"@AmericanAir no I've since rebooked with another airline, what I would like is compensation for all the time/money lost!",negative,no ive since rebooked with another airline what i would like is compensation for all the timemoney lost
@SouthwestAir looks like you are up and running for the day. Still can't get through on the phone. Can you follow so I can dm you my info,negative,looks like you are up and running for the day still cant get through on the phone can you follow so i can dm you my info
@united no apology? Cool.,negative,no apology cool
"@united just give up.  Your service is terrible.  If I wasn't forced to use United on certain routes, I never would.",negative,just give up your service is terrible if i wasnt forced to use united on certain routes i never would
@USAirways that's why u guys are my #1 choice.,positive,thats why u guys are my 1 choice
@USAirways trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?,neutral,trying to book award travel leaving on redeye sunday night after midnight should i book the date in sunday or monday
@USAirways @nm4agoodlife      5 hours on hold and no answer . Guess the synergy of a merger was really planned out,negative,5 hours on hold and no answer guess the synergy of a merger was really planned out
@SouthwestAir My son's flight was Cancelled Flightled today. I was on hold 2+ hours to no avail. Can you help me rebook?,negative,my sons flight was cancelled flightled today i was on hold 2 hours to no avail can you help me rebook
@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,neutral,may start service to hawaii from sanfrancisco this year biztravel
@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept,negative,with karen and found her unhelpful and rude called united at the time amp told she could board but karen would not accept
@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes,negative,i have asked lindsey to call me instead of dm like a schoolgirl but so far no call getting tired of typing little notes
"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united",negative,wanted to get my bag benefit but instead get 25 pricing on all three tickets when adding a card mp visa is only option
@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,neutral,can you tell me if flight 805 from mdwfll tomorrow 224 is at full capacity im hoping for a little bit of extra room smilingfacewithsmilingeyes
"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors""",negative,is there a problem with the website i tried making changes w the app and the site but got unspecified errors
@AmericanAir you set a schedule try and keep it !!! #AAALWAYSLate Flight,neutral,you set a schedule try and keep it aaalwayslate flight
"@AmericanAir Hello, question, How many balloons do you think it will take to life up one of your planes?",negative,hello question how many balloons do you think it will take to life up one of your planes
@JetBlue Thank you for opening the conversation.  I hope you can make it right.,neutral,thank you for opening the conversation i hope you can make it right
@USAirways so you don't have a pilot now for #clt ✈ #ord for at least another hour. Why on earth would you board the plane? Makes no sense!,negative,so you dont have a pilot now for clt airplane ord for at least another hour why on earth would you board the plane makes no sense
@USAirways been on hold for almost 2 hours trying to rebook my Cancelled Flighted flight. What in the world?!!!,negative,been on hold for almost 2 hours trying to rebook my cancelled flighted flight what in the world
"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑",negative,whats with the pricing cache about to book a flight refreshed the page amp the price jumped from 73 to 159 ridiculous expressionlessface
"@united diverged to Burlington, Vermont. This sucks.",negative,diverged to burlington vermont this sucks
@JetBlue do you have mint service from NYC to San Diego?,neutral,do you have mint service from nyc to san diego
@USAirways in a few weeks,neutral,in a few weeks
@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,negative,meant changed planes i hate seating over wing if u wanted i would have booked it u will get formal complaint
@AmericanAir booked AA3370 departing JFK 2/25/15. It was booked via BA and I want to change my FF# to AA can you do that for me via Twitter?,neutral,booked aa3370 departing jfk 22515 it was booked via ba and i want to change my ff to aa can you do that for me via twitter
"@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !",positive,i flew to san francisco from fort lauderdale with you last year had a fantastic time so would like to go back
@SouthwestAir your employees were great!,positive,your employees were great
@AmericanAir Gabriela in Miami is a very rude employee.Working the MIA-LGA check In. She made experience unpleasant.  #customerexperience,negative,gabriela in miami is a very rude employeeworking the mialga check in she made experience unpleasant customerexperience
@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!,neutral,left my ipad on mcogtiad flight 174 how long to hear back once claim submitted ty
@AmericanAir Got my bags this morning! Thanks!,positive,got my bags this morning thanks
@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,negative,8 hours late flightr and im siting on another plane waiting to leave i think a credit is in order for this terrible service
@united 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.,neutral,4 open seats in 1st class on ua 2065 way to honor your upgrade policy for freq flyers andor honor an employee with an upgrade
@USAirways #Unbelievable that for 2 consecutive days I can't get through to a person.  On hold over 2 hours and still going,negative,unbelievable that for 2 consecutive days i cant get through to a person on hold over 2 hours and still going
"@AmericanAir that's ok, thanks for letting me know. Appreciate all the responses.",positive,thats ok thanks for letting me know appreciate all the responses
@USAirways you can't control the weather but you can control customer service. Without luggage for 24 hours &amp; still yet to speak to a human.,negative,you cant control the weather but you can control customer service without luggage for 24 hours amp still yet to speak to a human
@USAirways I paid for my ticket on @PayPal on the 13th and it still says pending. Is that normal? I just want the money out of my account.,negative,i paid for my ticket on on the 13th and it still says pending is that normal i just want the money out of my account
@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good,positive,can anyone help me upgrade to buisness select cant seem to get hail of the right area at all i know you guys are good
@JetBlue I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!,positive,i want to give a warm thanks to your crew at logan airport for still getting me to the dc area after cancelled flightlations this morning
@united thank you!!!!! And next flight to Durango then driving to Farmington New Mexico for work! But hitting the slopes in Durango!,neutral,thank you and next flight to durango then driving to farmington new mexico for work but hitting the slopes in durango
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative,sf crew lack a lot of customer service lax employees are a lot better wonder why
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative,hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help
@SouthwestAir pleaseeee resume direct flights from FLL to PHL. I don't want to fly with anyone else 😩😫😢,negative,pleaseeee resume direct flights from fll to phl i dont want to fly with anyone else wearyface tiredface cryingface
