Sentence,Sentiment,Cleaned_Sentence
@AmericanAir have been waiting over THREE hours to talk to someone to rebook a flight due to weather. does call back service actually work??,negative,have been waiting over three hours to talk to someone to rebook a flight due to weather does call back service actually work
@JetBlue  anywhere... away from this snow globe to warmth sand and palm trees..,neutral,anywhere away from this snow globe to warmth sand and palm trees
"@united very exasperating I'm having a difficult time with Flight Booking Problems as the error message says you're undergoing maintenance. Really, now?",negative,very exasperating im having a difficult time with flight booking problems as the error message says youre undergoing maintenance really now
@united Understood and thanks! I should have tried reaching out sooner.,positive,understood and thanks i should have tried reaching out sooner
@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.,negative,is there a way to receive a refund on a trip that was cancelled flight online instead of calling your phone lines are super busy
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral,do you miss me dont worry well be together very soon
@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,negative,has terrible customer service amp doesnt feel the need to notify its customers when their flights are delayed
@USAirways It's not double booked. I spoke with CS and we've got a plan to fix this. It's still an amateur mistake that should never happen.,negative,its not double booked i spoke with cs and weve got a plan to fix this its still an amateur mistake that should never happen
"@SouthwestAir it's not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa",positive,its not fun having a delay from nashville to las vegas but the crew at the gate c9 desk has been awesome patience luvswa
@AmericanAir when is next lax JFK flight today,neutral,when is next lax jfk flight today
"@AmericanAir  I was told it would be emailed to me, but I haven't received anything yet. How can I follow-up?",negative,i was told it would be emailed to me but i havent received anything yet how can i followup
"@united wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united.",negative,wanted to but you cancelled flightled my tickets they were too special i guess even for united
@JetBlue follow for DM please,neutral,follow for dm please
@USAirways might possibly be THE WORST airline ever! I think it's time to brush up on customer service! #sorude,negative,might possibly be the worst airline ever i think its time to brush up on customer service sorude
"@AmericanAir Why is it ok that no-one can help me with the bag you lost on my honeymoon 3months ago, this is not responsible or professional",negative,why is it ok that noone can help me with the bag you lost on my honeymoon 3months ago this is not responsible or professional
@JetBlue last week I bought a plane ticket round trip to FL &amp; just 4 fun I look at the price of them today and they went down! #nothappy,negative,last week i bought a plane ticket round trip to fl amp just 4 fun i look at the price of them today and they went down nothappy
@united despite my bag not making it to Newark good informative email tracking updates help!,positive,despite my bag not making it to newark good informative email tracking updates help
@AmericanAir due to road conditions,neutral,due to road conditions
"@SouthwestAir Hi! I just saw a Black History month commercial on TV &amp; Im excited! In support of this month,will you all grant me 1 free trip",positive,hi i just saw a black history month commercial on tv amp im excited in support of this monthwill you all grant me 1 free trip
@AmericanAir DMing you now! Big thanks.,positive,dming you now big thanks
@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,positive,thank you for quick responses aa usually has fantastic customer service thats why i was so shocked when it wasnt there
@AmericanAir Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our #flightnightmare better than anyone.,positive,joanne from your san diego staff was phenomenal give that girl a raise she handled our flightnightmare better than anyone
@SouthwestAir looks like you are up and running for the day. Still can't get through on the phone. Can you follow so I can dm you my info,negative,looks like you are up and running for the day still cant get through on the phone can you follow so i can dm you my info
@SouthwestAir I've never met my favorite band and it would be sooo amazing to win destination dragons.,neutral,ive never met my favorite band and it would be sooo amazing to win destination dragons
@JetBlue great job getting flight 28 in 10 minutes early. Too bad we're at 50 minutes and counting waiting for our bags.,negative,great job getting flight 28 in 10 minutes early too bad were at 50 minutes and counting waiting for our bags
@USAirways we've now learned to never fly with u again. You've lost 16 customers from our group + the hundreds more from our company,negative,weve now learned to never fly with u again youve lost 16 customers from our group the hundreds more from our company
@AmericanAir Thank you,positive,thank you
@USAirways just Cancelled Flighted my flight and told me to call to rebook. Been on hold for 48 minutes at 4 am and still waiting,negative,just cancelled flighted my flight and told me to call to rebook been on hold for 48 minutes at 4 am and still waiting
@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,negative,after i waited hours in the airport being told one fib after the other why cant ual be honest with its customers
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",positive,i mean probably inappropriate while on board but its on
@AmericanAir a free check bag a food comp a flying credit something to help out now that I'm an additional 200 dollars in the hole,negative,a free check bag a food comp a flying credit something to help out now that im an additional 200 dollars in the hole
@JetBlue here you go... Your napkins pretty much say it all! http://t.co/OxY1Jnpjm3,positive,here you go your napkins pretty much say it all
@scm1133 @USAirways we hate delays!! have you tried any of these?! http://t.co/7STktJXAN1 (although we're not sure what a timbit is...),negative,we hate delays have you tried any of these although were not sure what a timbit is
@AmericanAir instead of putting the burden on your customers do the right thing and get more gate agents.,negative,instead of putting the burden on your customers do the right thing and get more gate agents
"@united not tonight, we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed. Thanks",negative,not tonight we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed thanks
@AmericanAir YOU FUCKING SUCK,negative,you fucking suck
"@USAirways now I am on flight to FLL, and told to take a train back to PBI to get my car. There are no trains to PBI!",negative,now i am on flight to fll and told to take a train back to pbi to get my car there are no trains to pbi
@united we have tried to change our flight THREE times on the phone and got disconnected each time.,negative,we have tried to change our flight three times on the phone and got disconnected each time
"@SouthwestAir RT @kkwhb: Paid for early bird boarding and got B46.  I said to lady, ""well, that system is about dead."" She didn't understand",negative,rt paid for early bird boarding and got b46 i said to lady well that system is about dead she didnt understand
@SouthwestAir YOU ARE THE EASIEST AIRLINE TO DEAL WITH.. I LOVEEEE YOU SO MUCH,positive,you are the easiest airline to deal with i loveeee you so much
@SouthwestAir Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation,neutral,please lower my plane flight by like 100 bucks thanks floridavacation
"@AmericanAir Fine. Would you have them call me? I left a message, was told it would be 2 hours for a call. Haven't heard anything yet.",negative,fine would you have them call me i left a message was told it would be 2 hours for a call havent heard anything yet
@AmericanAir @AmericanAir how do you expect to do that?,negative,how do you expect to do that
@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?,neutral,so do i need to book two one ways in order for her to fly as an unaccompanied minor
@SouthwestAir Sent. Thanks VP!,positive,sent thanks vp
@AmericanAir What happens when you combine Top Chef &amp; the beauty of San Miguel de Allende. My Late Flightst food blog.  http://t.co/7t1rDRCRe6,neutral,what happens when you combine top chef amp the beauty of san miguel de allende my late flightst food blog
"@JetBlue Gains Altitude, But SkyWest Hits Turbulence JBLU SKYW - Investor's Business Daily http://t.co/P2HUM7lXUR",neutral,gains altitude but skywest hits turbulence jblu skyw investors business daily
@AmericanAir @HeyMyNameIsSEAN Sean if you look at the AA schedule it sometimes gives you a clue if new'airplanes are used. They are gr8,neutral,sean if you look at the aa schedule it sometimes gives you a clue if newairplanes are used they are gr8
Please don't. RT “@JetBlue: Our fleet's on fleek. http://t.co/gdzadXzBYA”,neutral,please dont rt our fleets on fleek
"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!",positive,hi there looks like my connection is delayed too so ill make it thanks
