text,airline_sentiment
"@AmericanAir Flight Cancelled Flightled, can't go home until tomorrow. I could use dinner and a play, @AmericanAir! It's my first time in NYC.",negative
@AmericanAir “Inconvenient” is such a convenient word.,negative
@JetBlue no. Did not catch his name. I am sure Jason will know.,neutral
@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....,neutral
@VirginAmerica everything was fine until you lost my bag,negative
@AmericanAir Cancelled Flightled 2 of my flights for maintenance. Customer service desk is empty... Can I get a hotel at least? http://t.co/ypbkCiRBXu,negative
@USAirways surely there are some other ways to help me - I can't really afford another 4 hours now. Pls follow me so we can DM,negative
Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG,positive
@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers,negative
@JetBlue nothing but praise for you helping our lady make her flight to CHS tonight!  #impressed,positive
@AmericanAir help http://t.co/hYrAo7A4Uu,neutral
@usairways  this is ridiculous at CLT  and we missed our connecting flight because of a chuckhole  on runway??  #shameful (1/1),negative
"@USAirways 
Good news, we got fixed.",positive
can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl,negative
"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral.",negative
@AmericanAir no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated,negative
@united is screwing with my flights again at CAE? Why do you bother having flights here if they never leave on time or get Cancelled Flighted?,negative
@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,negative
@USAirways thank you for refunding my bag fee.  I look forward to its return today I hope.,positive
@VirginAmerica happy to spend the day together. Let's do this!,positive
@JetBlue Follow me pls?,neutral
@AmericanAir the worst air experience I have ever had and I am not in the first plane yet.,negative
@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,negative
@united one hour after departure time and still no update!,negative
@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,negative
@USAirways seriously? Every flight I have had the past 2 days has been delayed. Every single one. Terrible,negative
@SouthwestAir @SouthwestOliver that's a great FA right there.,positive
@SouthwestAir honesty should always be the policy,neutral
"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",negative
"“@USAirways: We're sincerely sorry, Sean. Reservations is working hard to answer everyone's call and we appreciate your patience.” #false",negative
@AmericanAir you know nothing about customer service and I'll make sure everyone knows it,negative
"@USAirways Awesome USAir, TYSVM &lt;3",positive
@JetBlue CEO battles to please Wall St and flyers - from @NZherald http://t.co/Q4Amiw7FSw,neutral
@SouthwestAir Thnx. Hopefully it's just on the nxt flight up. I've got 3 shows this wknd. Worst case I'll just turn my sweatshirt inside out,negative
"“@JetBlue: Our fleet's on fleek. http://t.co/g97HAbyeP5”

SMH",neutral
"@AmericanAir Thanks, but that results in missing the conference I'm attending. Are there options to book earlier,or if not,receive a refund?",negative
"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip.",negative
@united Is flight 5001 really going to leave Newark today?  If not tell us now and I will rent a car.  I do not want to end up stranded.,negative
@JetBlue received a voucher but if you want to improve relations be up front with passengers.,negative
@JetBlue on hold for 30 mins placed on hold then hung up on 2nd time in 2 days Only looking for group rates. BOS-SJU 5-12 to 5-19 10 people,negative
@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty,negative
@JetBlue Thank you. Fingers crossed.,positive
@united Tell me that you're at least going to cover a room and get me out of here.,negative
@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry,negative
@USAirways then drop your fee! $150 ($300RT!!!!) makes no sense; most EU airlines charge $0. @AirCanada charges a reasonable $50.,negative
@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.,negative
"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",negative
@AmericanAir why is raleigh not on the updated southern states advisory???,negative
@JetBlue Awesome! #bestairlineever,positive
@JetBlue it says it is now 9:58 you owe me,negative
@JetBlue now when I call it's still at the warehouse and might be going out tonight,negative
"@AmericanAir Extend rtn flight to bereavement, 22nd I could have change fee dropped, now told no.Worse day of my life #badcustomerservice",negative
.@JetBlue process begins 6:48,neutral
@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,negative
@AmericanAir thank you for the update!,positive
"@JetBlue I would like to communicate directly with a ""Customer Experience"" executive. Does Joanna Geraghty have an email address?",negative
@united is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.,negative
"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass",negative
@SouthwestAir I've DM'd you. Thanks!,positive
@AmericanAir boarding in 2mins YAY!!!!,neutral
@USAirways any travel advisory coming for the Carolinas?  Bad weather!,neutral
@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,positive
@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,negative
@USAirways been trying for weeks no use,negative
@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,negative
@JetBlue Landed at MCO before 9am and still don't have my bag. You were supposed to give it to Disney's Magical Express this AM.I am livid!,negative
@USAirways Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful,negative
@AmericanAir thanks for the great customer service. Family made it back to SAT safely. The weather at DFW made things a little worrisome.,positive
@VirginAmerica save some for 871 tomorrow AM!,neutral
"@USAirways my flight got Cancelled Flightled to Charlotte. Been on hold for an hour, pls pick up!",negative
"@AmericanAir @BoeingAirplanes I really would love to experience first class on that plane,looks stunning!",positive
@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.,neutral
👉🚪RT @JetBlue: Our fleet's on fleek. http://t.co/dSDEbodmEL,neutral
@AmericanAir Considering it was purchased on the 21st and I attempted to use it again on the 21st I believe it would fit these parameters.,neutral
@AmericanAir why does your RTW planner (spec. Circle Pacific) not let me even plan the demo routes from your website?,negative
@USAirways disappointment? Making own arrangements for me &amp; my sleeping toddler with zero assistance from USAir is maddening.,negative
@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.,negative
"@JetBlue @_justdippin_ drops a new video off the upcoming project #TheTakeover, produced by YpOnTheBeat https://t.co/IKQBdZA7TN RT",neutral
@united I need help with a missing bag.,negative
@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK,negative
@united thank you! Love united!! Have 4 flights today!,positive
"@united @danahajek : she means to say there has been so many complaints today (this week, this month) that she can't respond b/c she's alone",negative
@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far,positive
"@JetBlue Yoga it is. TV service seems to be down though :-(
I look forward to that do much!",negative
@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,negative
@AmericanAir is that the flight for tomorrow?,neutral
@united false.,negative
"@united Okay, thank you for your help :)",positive
@JetBlue Airways Adds New Charter #Flight to Cuba - #Travel Wires (blog) http://t.co/Swb1gR57Cc,neutral
@USAirways how do you do that? You guys need to have much better communication. How? How can we do that?,negative
@USAirways I finally got through on the phone after a 2 hour wait time.,negative
@united no they aren't - I just called to check. #WORSTCUSTOMERSERVICE,negative
@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst,negative
"@SouthwestAir yes, please #companionpass",neutral
@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?,neutral
@SouthwestAir why are the ticketing lines in Las Vegas so unorganized??  Mass craziness. Half of the ticketing stations unmanned.,negative
"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx",positive
@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off,negative
@JetBlue can you DM?,neutral
@JetBlue thanks to the gent on the phone who fixed my BOS-MCO flight and the fee waiver! A320 now :) #flyfi ! I forget her name :(,positive
@AmericanAir I'm still on hold if you're wondering...  4 hours 37 minutes and counting.  #ServiceFail #OnHoldForever #Suboptimal,negative
"@AmericanAir To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning, IMO.",negative
@USAirways got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6,negative
"Social agencies, this is why we can't have nice things. @JetBlue: Our fleet's on fleek. http://t.co/QRxz0bGbtq",negative
"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile",negative
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
"@AmericanAir Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane",positive
@AmericanAir Trying to get my flight changed through dallas. Calling your number just says thanks for calling and hangs up. Guess I'm stuck,negative
@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'.,neutral
@united installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours.,negative
@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.,neutral
@JetBlue oh definitely. I kind of only fly JetBlue.,positive
@united Slightly better. Crew spent a long time searching for better altitude. Would have helped to let pax in on why all the sharp drops.,negative
@JetBlue I hope so. Wanted an early flight to avoid the airport chaos but it's too Late Flight for that!,negative
@united I DM'd child's birthdate and full name.,neutral
"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",positive
@United can you help me get from IAH to SFO earlier tonight?,neutral
@united rude rude,negative
"@USAirways will do.  maybe the pre-purchase meal email is because the flight is 9 min short of 3 hours, so I guess there are none offered",negative
@AmericanAir have been waiting over THREE hours to talk to someone to rebook a flight due to weather. does call back service actually work??,negative
@JetBlue  anywhere... away from this snow globe to warmth sand and palm trees..,neutral
"@united very exasperating I'm having a difficult time with Flight Booking Problems as the error message says you're undergoing maintenance. Really, now?",negative
@united Understood and thanks! I should have tried reaching out sooner.,positive
@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.,negative
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,negative
@USAirways It's not double booked. I spoke with CS and we've got a plan to fix this. It's still an amateur mistake that should never happen.,negative
"@SouthwestAir it's not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa",positive
@AmericanAir when is next lax JFK flight today,neutral
"@AmericanAir  I was told it would be emailed to me, but I haven't received anything yet. How can I follow-up?",negative
"@united wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united.",negative
@JetBlue follow for DM please,neutral
@USAirways might possibly be THE WORST airline ever! I think it's time to brush up on customer service! #sorude,negative
"@AmericanAir Why is it ok that no-one can help me with the bag you lost on my honeymoon 3months ago, this is not responsible or professional",negative
@JetBlue last week I bought a plane ticket round trip to FL &amp; just 4 fun I look at the price of them today and they went down! #nothappy,negative
@united despite my bag not making it to Newark good informative email tracking updates help!,positive
@AmericanAir due to road conditions,neutral
"@SouthwestAir Hi! I just saw a Black History month commercial on TV &amp; Im excited! In support of this month,will you all grant me 1 free trip",positive
@AmericanAir DMing you now! Big thanks.,positive
@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,positive
@AmericanAir Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our #flightnightmare better than anyone.,positive
@SouthwestAir looks like you are up and running for the day. Still can't get through on the phone. Can you follow so I can dm you my info,negative
@SouthwestAir I've never met my favorite band and it would be sooo amazing to win destination dragons.,neutral
@JetBlue great job getting flight 28 in 10 minutes early. Too bad we're at 50 minutes and counting waiting for our bags.,negative
@USAirways we've now learned to never fly with u again. You've lost 16 customers from our group + the hundreds more from our company,negative
@AmericanAir Thank you,positive
@USAirways just Cancelled Flighted my flight and told me to call to rebook. Been on hold for 48 minutes at 4 am and still waiting,negative
@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,negative
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",positive
@AmericanAir a free check bag a food comp a flying credit something to help out now that I'm an additional 200 dollars in the hole,negative
@JetBlue here you go... Your napkins pretty much say it all! http://t.co/OxY1Jnpjm3,positive
@scm1133 @USAirways we hate delays!! have you tried any of these?! http://t.co/7STktJXAN1 (although we're not sure what a timbit is...),negative
@AmericanAir instead of putting the burden on your customers do the right thing and get more gate agents.,negative
"@united not tonight, we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed. Thanks",negative
@AmericanAir YOU FUCKING SUCK,negative
"@USAirways now I am on flight to FLL, and told to take a train back to PBI to get my car. There are no trains to PBI!",negative
@united we have tried to change our flight THREE times on the phone and got disconnected each time.,negative
"@SouthwestAir RT @kkwhb: Paid for early bird boarding and got B46.  I said to lady, ""well, that system is about dead."" She didn't understand",negative
@SouthwestAir YOU ARE THE EASIEST AIRLINE TO DEAL WITH.. I LOVEEEE YOU SO MUCH,positive
@SouthwestAir Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation,neutral
"@AmericanAir Fine. Would you have them call me? I left a message, was told it would be 2 hours for a call. Haven't heard anything yet.",negative
@AmericanAir @AmericanAir how do you expect to do that?,negative
@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?,neutral
@SouthwestAir Sent. Thanks VP!,positive
@AmericanAir What happens when you combine Top Chef &amp; the beauty of San Miguel de Allende. My Late Flightst food blog.  http://t.co/7t1rDRCRe6,neutral
"@JetBlue Gains Altitude, But SkyWest Hits Turbulence JBLU SKYW - Investor's Business Daily http://t.co/P2HUM7lXUR",neutral
@AmericanAir @HeyMyNameIsSEAN Sean if you look at the AA schedule it sometimes gives you a clue if new'airplanes are used. They are gr8,neutral
Please don't. RT “@JetBlue: Our fleet's on fleek. http://t.co/gdzadXzBYA”,neutral
"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!",positive
@united yes when I landed.,neutral
@AmericanAir if you could get the gate crew to help us off FLT 5350 that would be great....,neutral
@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted,negative
@SouthwestAir not yet! Supposed to get it early evening tonight. Don't want to have to go to the store and buy new necessities.,negative
@united Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app,negative
@JetBlue you guys need live chat.,negative
@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.,negative
@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,positive
@AmericanAir can you?,negative
"@AmericanAir
 Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.",negative
"@AmericanAir that's unacceptable. They should allow me to wait on hold, or take my number and call me themselves.",negative
@JetBlue she did. she's still waiting on a callback....the lack of follow through is what's concerning. smh,negative
@SouthwestAir if you guys fuck this up again  I will never forgive you,negative
@AmericanAir I let a crew member know every time this happens.  Which is most of the time.,negative
"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?",neutral
@USAirways 2nd February in a row- stranded us when we try to return from Cancun! No contact info- no way to rebook! #badcustomerservice,negative
@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,positive
"@AmericanAir 
No one answers phone, delayed/Cancelled Flightled flights. Rude employees. You only get (I'm sorry, we apologize) blah blah blah. Bad",negative
"@united roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin, pretty pricey via United. Can you match them?",neutral
@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems,negative
@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.,negative
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral
@united still waiting 4 our bags. Web STILL can't tell me its location . How come @UPS @FedEx can tell u at any given minute where it is?,negative
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,negative
@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.,negative
@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!,positive
"@AmericanAir By the time the 2 hrs passed before I got a call back, the ticket was more $$. It wasn't my fault yet I had to pay extra",negative
@AmericanAir you said this last time. It doesn't take 6 weeks to reply to an email.,negative
@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min. 😒👺 we have schedules too,negative
@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.,negative
@JetBlue sure is 💙,positive
@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being.,negative
@JetBlue Only middle seats. SFO -&gt; BOS. Not fun. She keeps getting $10 credits. Would much rather have a working TV.,negative
@JetBlue hotspot free WiFi makes me happy. #jfk #itsthelittlethings,positive
@USAirways I am in meetings in California and have no luggage!!,negative
@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?,negative
@SouthwestAir done messed up now!!! I have planned a trip to #CostaRica for pennies!!! #VacaTime ✈️💺,negative
@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,negative
@AmericanAir lets me get in line for call back in over 2 hours. I'll just hope the 1 ticket left on the flight I want is still there Late Flightr.,negative
@VirginAmerica got it. All set - Thanks!,positive
@USAirways how do you have only 1 flight into lexington this afternoon with the #1 @KentuckyMBB playing a big game tonight?  #DoBetter,neutral
@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1),negative
"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)",neutral
@JetBlue on flight 2416 to Orlando...ridiculous that we had to wait for this high school band to board. #notbabysitters #whrsthecoach?,negative
@United OMG WHERE IS MY BAG??? YYZUA70435 - enough with the shenanigans already. It's getting real old real quick!!,negative
@AmericanAir Funny you should say that. I have been monitoring since January 1st. No change in availability. #fakeawards #LUVisbetter,negative
"@USAirways @PDQuigley any progress? Good luck, Patrick!",neutral
@JetBlue flight 117. proud to fly Jet Blue!,positive
"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors""",negative
@AmericanAir is 2513 and 1555 on time or Cancelled Flightled?,neutral
"@AmericanAir already spoke to that line, unwilling to help - really poor support #hitawall",negative
"@united I mean, your employees were really nice as I literally sobbed?",negative
@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?,negative
"@USAirways @marvinatorsb thnk you for response,all flights were full, couldn't get out until tmrw, had to Cancelled Flight and go w/other airline",negative
@JetBlue Thanks for the complimentary upgrade to first.  You are the best!,positive
@JetBlue offers hot tea and coffee...at the gate! You guys make me wonder why I have ever flown any other airlines! ☕✈👍,positive
"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?",negative
"@JetBlue I love flying with u, but I have a question, why is one of ur planes called ny jets",positive
@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,negative
@USAirways @AmericanAir no one appreciates the sass of the gate agent at Gate C38 at LGA flight US626. Irritated customers,negative
@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??,negative
Welp. “@JetBlue: Our fleet's on fleek. http://t.co/kwUEk1uKbC”,neutral
@united thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.,negative
@JetBlue I knew the 3-4 hours sounded odd; missed a flight we hit JFK an hour early for and your gate  attendant told us 3-4 :(,negative
@SouthwestAir might be the worst airline ever,negative
@USAirways I was on hold for 2 hours and still no answer. Is this really how you run your business? http://t.co/P8xFhq4kps,negative
@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!,positive
@JetBlue you have to service your remote controllers on my flight I watched equalizer (movie) THREE times because my remote was stuck,negative
"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑",negative
@USAirways is there a # or a time bracket I can call to fix this problem?I've been attempting to fix this contact information issue for days,negative
@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,positive
@SouthwestAir i hope i can be apart of the team with this job opening!,positive
@USAirways would it kill you to give me 30-60 seconds of bad muzak instead of constant commercials while on hold?,negative
@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways,negative
@SouthwestAir no had to rebook my flight myself and am about to board in bham.,negative
@USAirways Uh yeah. Flight boarded &amp; now 1 hr Late Flightr we still sit. Update on 4435 to DCA?,negative
"@united gates were DEFINITELY NOT FULL. We were parked and wheels were chocked. Customer service called it an ""UNMET ARRIVAL""!!",negative
@JetBlue thanks for update http://t.co/K7uBOTMr1r,positive
"@USAirways Please don't trivialize me.  This is a joke, not a slow day or slow experience",negative
"@USAirways literally the worst flying experience of my life, and I have flown a lot",negative
"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",negative
"@USAirways stranded at BWI after two diversions. No cust service, no transport. Dumped here. Terrible customer service!",negative
@USAirways 4 hrs and counting today alone... like I don't have other things to accomplish today than to just keep holding!!!,negative
@AmericanAir Awesome customer service on #390 from rdu. They snuck my wife a warm cookie. Thx!,positive
@SouthwestAir I have the DM from @SouthwestVerity if needed,neutral
@united How can I verify if wheelchair assistance has been requested for my next flight?,neutral
"@usairways really need help asap, so please make it quick. Thx.",negative
"@AmericanAir offered me a cot to sleep on?After they Cancelled Flightled my flight. A fucking cot. What about a hotel, like you're supposed to provide",negative
@AmericanAir its now 17 days since I contacted customer relations... #surf #fail #BaggageDrama http://t.co/CS1673hrqQ,negative
@united no wheelchairs,negative
@SouthwestAir Suggestions: tell customers approximate wait times when they are on hold (50 min now...) and allow them to Cancelled Flight online!,negative
“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏,positive
@AmericanAir  it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour. 👎😡✈️ #notahappycustomer #leavingtomm,negative
@USAirways Don't blame it on weather. Rep at counter cost me entire day - not weather.  Printed Boarding Pass too Late Flight. #TakeResponsibility,negative
"@USAirways right, can you use a shuttle ticket from LGA to BOS for any shuttle flight? Probably gonna miss the 4pm.",negative
@JetBlue I would go anywhere JetBlue goes.,positive
@USAirways your airway is a joke. I have never dealt with worse service,negative
@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek,neutral
@AmericanAir The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.,negative
@united worked out after all. Thanks for your immediate reply!!,positive
@united they have access to the dial that makes it faster do they?,negative
"@AmericanAir I love the Admiral Clubs! Thanks, hey can you follow me?",positive
@AmericanAir I was just called abt my flight Cancelled Flightlation- a flight that was Cancelled Flightled at 10:30a Sunday. Two 4:00a calls are not okay.,negative
@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,positive
@JetBlue Why close prechk at 8PM on a Sunday at JFK?  #annoying,negative
@SouthwestAir yep. 99.99999999% certain it was on that flight.,negative
@JetBlue supervisor humiliated us and was uncompromising. We were completely blindsided!,negative
@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,negative
This shits gotta stop RT @JetBlue: Our fleet's on fleek. http://t.co/PEQ90pqMpp,negative
"@AmericanAir will award me 50,000 air miles!!! Yes I am going to take a vacation! 
#thanksamericanairlines",positive
@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,neutral
@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒,negative
@united been on hold for almost two hours trying to talk to someone about a Cancelled Flighted flight tomorrow morning. What do you suggest?,negative
@USAirways Plus a US Airways - you need to do something about this! I left Philly to thaw out!!!! http://t.co/pKy7ZhnNRH,negative
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative
@VirginAmerica sounds like fun !,positive
"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",positive
@AmericanAir you have let me down. Seriously. #unhappycustomer,negative
@united Your boarding process sucks. You should learn from @SouthwestAir,negative
"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",negative
